9d18129488180760c5d8cab4c3e95f385299d0cb,MODIFY,regular-file,README.md,1605,26;30
0f30d0e7af10171b6811ae0b348cb9a3e0dc0cf4,MODIFY,regular-file,streetart/settings_secret.py,459,3;10-12
